block,block_id,parameter,parameter_id,address,parameter_name,access,size_byte,default_value,param_mask,param_shift,max_value,description
ChAligner,00,user_word,01,0x0008,ChAligner_00_user_word_01,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,00,user_word,02,0x000c,ChAligner_00_user_word_02,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,00,user_word,03,0x0010,ChAligner_00_user_word_03,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,00,per_ch_align_en,,0x0000,ChAligner_00_per_ch_align_en,rw,1,1,1,0,1,Enables channel aligner sequence [0: disabled; 1: enabled] (for Automatic alignment mode also set snapshot_arm=0; snapshot_en=1; i2c_snapshot_en=0 and sel_override_en=0)
ChAligner,00,sel_override_en,,0x0000,ChAligner_00_sel_override_en,rw,1,0,1,1,1,Enables the override of the select value with the value provided in sel_override_val [0: disabled (for Automatic Alignment); 1: enabled (for Manual Alignment)]
ChAligner,00,patt_en,,0x0000,ChAligner_00_patt_en,rw,1,0,1,2,1,Enables a test (PRBS of user_words) pattern to be sent to the input of the channel aligner in place of data from ePortRx [0: disabled; 1: enabled]
ChAligner,00,prbs28_en,,0x0000,ChAligner_00_prbs28_en,rw,1,0,1,3,1,Selects the pattern to be inserted in the PRBS generation [0: PRBS pattern 32 bits; 1: PRBS pattern is {4-bit header; PRBS [31:4]}]. The PRBS generator use the polynomial x^15 + x^14 + 1 and seed is set by the seed_in field
ChAligner,00,patt_sel,,0x0000,ChAligner_00_patt_sel,rw,1,0,1,4,1,Selection of test pattern to be sent to the input of the channel aligner [0: PRBS pattern each cycle; 1: cyclically transmit user_word_0->user_word_1->user_word_2->user_word_3]
ChAligner,00,prbs_chk_en,,0x0000,ChAligner_00_prbs_chk_en,rw,1,0,1,5,1,Enables the aligner PRBS checker [1: enabled; 0: disabled]. The checker expects a PRBS with polynomial x^15 + x^14 + 1 and seed is set by the seed_in field. Errors indicated in prbs_chk_err and counted in prbs_chk_err_cnt registers
ChAligner,00,force_ch_outputs,,0x0000,ChAligner_00_force_ch_outputs,rw,1,0,1,6,1,Enables user_word_0 pattern at the output of the channel aligner [1: enabled; 0: disabled]
ChAligner,00,sel_override_val,,0x0001,ChAligner_00_sel_override_val,rw,1,0,255,0,255,The value for the alignment select register to be used when sel_override_en=1
ChAligner,00,seed_in,,0x0002,ChAligner_00_seed_in,rw,2,0,16383,0,16383,Value loaded into the Linear Feeback Shift Register for the internal PRBS pattern generator. The value is padded to 15 bits by adding a leading 0
ChAligner,00,pattern_match,,0x0014,ChAligner_00_pattern_match,ro,1,0,1,0,1,Status of Alignment [0: alignment pattern not found in snapshot; 1: alignment pattern found in snapshot]
ChAligner,00,snapshot_dv,,0x0014,ChAligner_00_snapshot_dv,ro,1,0,1,1,1,Status of Snapshot [0: snapshot not taken; 1: snapshot taken]
ChAligner,00,hdr_mm_err,,0x0014,ChAligner_00_hdr_mm_err,ro,1,0,1,2,1,Status 1: incorrect header (not matching idle_hdr_val) observed at BX!=1
ChAligner,00,spare_err,,0x0014,ChAligner_00_spare_err,ro,1,0,1,3,1,
ChAligner,00,orbsyn_hdr_err,,0x0014,ChAligner_00_orbsyn_hdr_err,ro,1,0,1,4,1,Status 1: incorrect special header observed (not matching orbsyn_hdr_val)
ChAligner,00,orbsyn_arr_err,,0x0014,ChAligner_00_orbsyn_arr_err,ro,1,0,1,5,1,Status 1: a second BCR fast command was received
ChAligner,00,orbsyn_fc_err,,0x0014,ChAligner_00_orbsyn_fc_err,ro,1,0,1,6,1,Status 1: BCR fast command is missing
ChAligner,00,prbs_chk_err,,0x0014,ChAligner_00_prbs_chk_err,ro,1,0,1,7,1,Status 1: error observed by the aligner PRBS checker
ChAligner,00,select,,0x0015,ChAligner_00_select,ro,1,32,255,0,255,Offset for location within 192-bit shift register from which channel aligner selects the 32-bit word. In Automatic Alignment this is the location of the MSB of the special header within the snapshot. Valid range is from 32 to 160 in Automatic alignment
ChAligner,00,snapshot,,0x0016,ChAligner_00_snapshot,ro,24,0,6277101735386680763835789423207666416102355444464034512895,0,6277101735386680763835789423207666416102355444464034512895,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
ChAligner,00,hdr_mm_cntr,,0x002e,ChAligner_00_hdr_mm_cntr,ro,2,0,65535,0,65535,Header mismatch error counter. Error counter for incorrect regular header (BX!=1). Reset by err_clr (RW_Misc_ALL.misc_rw_0[0])
ChAligner,00,orbsyn_hdr_err_cnt,,0x0030,ChAligner_00_orbsyn_hdr_err_cnt,ro,1,0,255,0,255,Error counter for incorrect special header observed (not matching orbsyn_hdr_val). Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,00,orbsyn_arr_err_cnt,,0x0031,ChAligner_00_orbsyn_arr_err_cnt,ro,1,0,255,0,255,Error counter for extra BCR fast command. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,00,orbsyn_fc_err_cnt,,0x0032,ChAligner_00_orbsyn_fc_err_cnt,ro,1,0,255,0,255,Error counter for missing BCR fast command. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,00,prbs_chk_err_cnt,,0x0033,ChAligner_00_prbs_chk_err_cnt,ro,1,0,255,0,255,Error counter for internal PRBS check. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,00,tmr_err_cnt_chan_aligner,,0x0034,ChAligner_00_tmr_err_cnt_chan_aligner,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,00,tmr_err_cnt_chan_err,,0x0035,ChAligner_00_tmr_err_cnt_chan_err,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,00,tmr_err_cnt_chan_eprxgrp,,0x0036,ChAligner_00_tmr_err_cnt_chan_eprxgrp,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,01,user_word,00,0x0044,ChAligner_01_user_word_00,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Transmitted from output of aligner while alignment procedure is active or when force_ch_outputs=1. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,01,user_word,01,0x0048,ChAligner_01_user_word_01,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,01,user_word,02,0x004c,ChAligner_01_user_word_02,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,01,user_word,03,0x0050,ChAligner_01_user_word_03,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,01,per_ch_align_en,,0x0040,ChAligner_01_per_ch_align_en,rw,1,1,1,0,1,Enables channel aligner sequence [0: disabled; 1: enabled] (for Automatic alignment mode also set snapshot_arm=0; snapshot_en=1; i2c_snapshot_en=0 and sel_override_en=0)
ChAligner,01,sel_override_en,,0x0040,ChAligner_01_sel_override_en,rw,1,0,1,1,1,Enables the override of the select value with the value provided in sel_override_val [0: disabled (for Automatic Alignment); 1: enabled (for Manual Alignment)]
ChAligner,01,patt_en,,0x0040,ChAligner_01_patt_en,rw,1,0,1,2,1,Enables a test (PRBS of user_words) pattern to be sent to the input of the channel aligner in place of data from ePortRx [0: disabled; 1: enabled]
ChAligner,01,prbs28_en,,0x0040,ChAligner_01_prbs28_en,rw,1,0,1,3,1,Selects the pattern to be inserted in the PRBS generation [0: PRBS pattern 32 bits; 1: PRBS pattern is {4-bit header; PRBS [31:4]}]. The PRBS generator use the polynomial x^15 + x^14 + 1 and seed is set by the seed_in field
ChAligner,01,patt_sel,,0x0040,ChAligner_01_patt_sel,rw,1,0,1,4,1,Selection of test pattern to be sent to the input of the channel aligner [0: PRBS pattern each cycle; 1: cyclically transmit user_word_0->user_word_1->user_word_2->user_word_3]
ChAligner,01,prbs_chk_en,,0x0040,ChAligner_01_prbs_chk_en,rw,1,0,1,5,1,Enables the aligner PRBS checker [1: enabled; 0: disabled]. The checker expects a PRBS with polynomial x^15 + x^14 + 1 and seed is set by the seed_in field. Errors indicated in prbs_chk_err and counted in prbs_chk_err_cnt registers
ChAligner,01,force_ch_outputs,,0x0040,ChAligner_01_force_ch_outputs,rw,1,0,1,6,1,Enables user_word_0 pattern at the output of the channel aligner [1: enabled; 0: disabled]
ChAligner,01,sel_override_val,,0x0041,ChAligner_01_sel_override_val,rw,1,0,255,0,255,The value for the alignment select register to be used when sel_override_en=1
ChAligner,01,seed_in,,0x0042,ChAligner_01_seed_in,rw,2,0,16383,0,16383,Value loaded into the Linear Feeback Shift Register for the internal PRBS pattern generator. The value is padded to 15 bits by adding a leading 0
ChAligner,01,pattern_match,,0x0054,ChAligner_01_pattern_match,ro,1,0,1,0,1,Status of Alignment [0: alignment pattern not found in snapshot; 1: alignment pattern found in snapshot]
ChAligner,01,snapshot_dv,,0x0054,ChAligner_01_snapshot_dv,ro,1,0,1,1,1,Status of Snapshot [0: snapshot not taken; 1: snapshot taken]
ChAligner,01,hdr_mm_err,,0x0054,ChAligner_01_hdr_mm_err,ro,1,0,1,2,1,Status 1: incorrect header (not matching idle_hdr_val) observed at BX!=1
ChAligner,01,spare_err,,0x0054,ChAligner_01_spare_err,ro,1,0,1,3,1,
ChAligner,01,orbsyn_hdr_err,,0x0054,ChAligner_01_orbsyn_hdr_err,ro,1,0,1,4,1,Status 1: incorrect special header observed (not matching orbsyn_hdr_val)
ChAligner,01,orbsyn_arr_err,,0x0054,ChAligner_01_orbsyn_arr_err,ro,1,0,1,5,1,Status 1: a second BCR fast command was received
ChAligner,01,orbsyn_fc_err,,0x0054,ChAligner_01_orbsyn_fc_err,ro,1,0,1,6,1,Status 1: BCR fast command is missing
ChAligner,01,prbs_chk_err,,0x0054,ChAligner_01_prbs_chk_err,ro,1,0,1,7,1,Status 1: error observed by the aligner PRBS checker
ChAligner,01,select,,0x0055,ChAligner_01_select,ro,1,32,255,0,255,Offset for location within 192-bit shift register from which channel aligner selects the 32-bit word. In Automatic Alignment this is the location of the MSB of the special header within the snapshot. Valid range is from 32 to 160 in Automatic alignment
ChAligner,01,snapshot,,0x0056,ChAligner_01_snapshot,ro,24,0,6277101735386680763835789423207666416102355444464034512895,0,6277101735386680763835789423207666416102355444464034512895,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
ChAligner,01,hdr_mm_cntr,,0x006e,ChAligner_01_hdr_mm_cntr,ro,2,0,65535,0,65535,Header mismatch error counter. Error counter for incorrect regular header (BX!=1). Reset by err_clr (RW_Misc_ALL.misc_rw_0[0])
ChAligner,01,orbsyn_hdr_err_cnt,,0x0070,ChAligner_01_orbsyn_hdr_err_cnt,ro,1,0,255,0,255,Error counter for incorrect special header observed (not matching orbsyn_hdr_val). Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,01,orbsyn_arr_err_cnt,,0x0071,ChAligner_01_orbsyn_arr_err_cnt,ro,1,0,255,0,255,Error counter for extra BCR fast command. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,01,orbsyn_fc_err_cnt,,0x0072,ChAligner_01_orbsyn_fc_err_cnt,ro,1,0,255,0,255,Error counter for missing BCR fast command. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,01,prbs_chk_err_cnt,,0x0073,ChAligner_01_prbs_chk_err_cnt,ro,1,0,255,0,255,Error counter for internal PRBS check. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,01,tmr_err_cnt_chan_aligner,,0x0074,ChAligner_01_tmr_err_cnt_chan_aligner,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,01,tmr_err_cnt_chan_err,,0x0075,ChAligner_01_tmr_err_cnt_chan_err,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,01,tmr_err_cnt_chan_eprxgrp,,0x0076,ChAligner_01_tmr_err_cnt_chan_eprxgrp,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,02,user_word,00,0x0084,ChAligner_02_user_word_00,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Transmitted from output of aligner while alignment procedure is active or when force_ch_outputs=1. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,02,user_word,01,0x0088,ChAligner_02_user_word_01,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,02,user_word,02,0x008c,ChAligner_02_user_word_02,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,02,user_word,03,0x0090,ChAligner_02_user_word_03,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,02,per_ch_align_en,,0x0080,ChAligner_02_per_ch_align_en,rw,1,1,1,0,1,Enables channel aligner sequence [0: disabled; 1: enabled] (for Automatic alignment mode also set snapshot_arm=0; snapshot_en=1; i2c_snapshot_en=0 and sel_override_en=0)
ChAligner,02,sel_override_en,,0x0080,ChAligner_02_sel_override_en,rw,1,0,1,1,1,Enables the override of the select value with the value provided in sel_override_val [0: disabled (for Automatic Alignment); 1: enabled (for Manual Alignment)]
ChAligner,02,patt_en,,0x0080,ChAligner_02_patt_en,rw,1,0,1,2,1,Enables a test (PRBS of user_words) pattern to be sent to the input of the channel aligner in place of data from ePortRx [0: disabled; 1: enabled]
ChAligner,02,prbs28_en,,0x0080,ChAligner_02_prbs28_en,rw,1,0,1,3,1,Selects the pattern to be inserted in the PRBS generation [0: PRBS pattern 32 bits; 1: PRBS pattern is {4-bit header; PRBS [31:4]}]. The PRBS generator use the polynomial x^15 + x^14 + 1 and seed is set by the seed_in field
ChAligner,02,patt_sel,,0x0080,ChAligner_02_patt_sel,rw,1,0,1,4,1,Selection of test pattern to be sent to the input of the channel aligner [0: PRBS pattern each cycle; 1: cyclically transmit user_word_0->user_word_1->user_word_2->user_word_3]
ChAligner,02,prbs_chk_en,,0x0080,ChAligner_02_prbs_chk_en,rw,1,0,1,5,1,Enables the aligner PRBS checker [1: enabled; 0: disabled]. The checker expects a PRBS with polynomial x^15 + x^14 + 1 and seed is set by the seed_in field. Errors indicated in prbs_chk_err and counted in prbs_chk_err_cnt registers
ChAligner,02,force_ch_outputs,,0x0080,ChAligner_02_force_ch_outputs,rw,1,0,1,6,1,Enables user_word_0 pattern at the output of the channel aligner [1: enabled; 0: disabled]
ChAligner,02,sel_override_val,,0x0081,ChAligner_02_sel_override_val,rw,1,0,255,0,255,The value for the alignment select register to be used when sel_override_en=1
ChAligner,02,seed_in,,0x0082,ChAligner_02_seed_in,rw,2,0,16383,0,16383,Value loaded into the Linear Feeback Shift Register for the internal PRBS pattern generator. The value is padded to 15 bits by adding a leading 0
ChAligner,02,pattern_match,,0x0094,ChAligner_02_pattern_match,ro,1,0,1,0,1,Status of Alignment [0: alignment pattern not found in snapshot; 1: alignment pattern found in snapshot]
ChAligner,02,snapshot_dv,,0x0094,ChAligner_02_snapshot_dv,ro,1,0,1,1,1,Status of Snapshot [0: snapshot not taken; 1: snapshot taken]
ChAligner,02,hdr_mm_err,,0x0094,ChAligner_02_hdr_mm_err,ro,1,0,1,2,1,Status 1: incorrect header (not matching idle_hdr_val) observed at BX!=1
ChAligner,02,spare_err,,0x0094,ChAligner_02_spare_err,ro,1,0,1,3,1,
ChAligner,02,orbsyn_hdr_err,,0x0094,ChAligner_02_orbsyn_hdr_err,ro,1,0,1,4,1,Status 1: incorrect special header observed (not matching orbsyn_hdr_val)
ChAligner,02,orbsyn_arr_err,,0x0094,ChAligner_02_orbsyn_arr_err,ro,1,0,1,5,1,Status 1: a second BCR fast command was received
ChAligner,02,orbsyn_fc_err,,0x0094,ChAligner_02_orbsyn_fc_err,ro,1,0,1,6,1,Status 1: BCR fast command is missing
ChAligner,02,prbs_chk_err,,0x0094,ChAligner_02_prbs_chk_err,ro,1,0,1,7,1,Status 1: error observed by the aligner PRBS checker
ChAligner,02,select,,0x0095,ChAligner_02_select,ro,1,32,255,0,255,Offset for location within 192-bit shift register from which channel aligner selects the 32-bit word. In Automatic Alignment this is the location of the MSB of the special header within the snapshot. Valid range is from 32 to 160 in Automatic alignment
ChAligner,02,snapshot,,0x0096,ChAligner_02_snapshot,ro,24,0,6277101735386680763835789423207666416102355444464034512895,0,6277101735386680763835789423207666416102355444464034512895,Snapshot of 192-bit shift register of aligner. Snapshot can be triggered via LinkResetROC (in Automatic and Manual modes) or through a snapshot_arm (in i2c_trigger mode)
ChAligner,02,hdr_mm_cntr,,0x00ae,ChAligner_02_hdr_mm_cntr,ro,2,0,65535,0,65535,Header mismatch error counter. Error counter for incorrect regular header (BX!=1). Reset by err_clr (RW_Misc_ALL.misc_rw_0[0])
ChAligner,02,orbsyn_hdr_err_cnt,,0x00b0,ChAligner_02_orbsyn_hdr_err_cnt,ro,1,0,255,0,255,Error counter for incorrect special header observed (not matching orbsyn_hdr_val). Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,02,orbsyn_arr_err_cnt,,0x00b1,ChAligner_02_orbsyn_arr_err_cnt,ro,1,0,255,0,255,Error counter for extra BCR fast command. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,02,orbsyn_fc_err_cnt,,0x00b2,ChAligner_02_orbsyn_fc_err_cnt,ro,1,0,255,0,255,Error counter for missing BCR fast command. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,02,prbs_chk_err_cnt,,0x00b3,ChAligner_02_prbs_chk_err_cnt,ro,1,0,255,0,255,Error counter for internal PRBS check. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]). Saturates to 255
ChAligner,02,tmr_err_cnt_chan_aligner,,0x00b4,ChAligner_02_tmr_err_cnt_chan_aligner,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,02,tmr_err_cnt_chan_err,,0x00b5,ChAligner_02_tmr_err_cnt_chan_err,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,02,tmr_err_cnt_chan_eprxgrp,,0x00b6,ChAligner_02_tmr_err_cnt_chan_eprxgrp,ro,1,0,255,0,255,wrap-around SEU error counter. Reset by err_clr (RW_Misc_ALL.misc_rw_0[0]) or hard reset
ChAligner,03,user_word,00,0x00c4,ChAligner_03_user_word_00,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Transmitted from output of aligner while alignment procedure is active or when force_ch_outputs=1. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,03,user_word,01,0x00c8,ChAligner_03_user_word_01,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,03,user_word,02,0x00cc,ChAligner_03_user_word_02,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,03,user_word,03,0x00d0,ChAligner_03_user_word_03,rw,4,0,4294967295,0,4294967295,The 32-bit word for test patterns. Sent as input to aligner in place of ePortRx data outputs when patt_en=1 and patt_sel=1 (transmitted cyclically every 4th BX: user_word_0->user_word_1->user_word_2->user_word_3)
ChAligner,03,per_ch_align_en,,0x00c0,ChAligner_03_per_ch_align_en,rw,1,1,1,0,1,Enables channel aligner sequence [0: disabled; 1: enabled] (for Automatic alignment mode also set snapshot_arm=0; snapshot_en=1; i2c_snapshot_en=0 and sel_override_en=0)
ChAligner,03,sel_override_en,,0x00c0,ChAligner_03_sel_override_en,rw,1,0,1,1,1,Enables the override of the select value with the value provided in sel_override_val [0: disabled (for Automatic Alignment); 1: enabled (for Manual Alignment)]
ChAligner,03,patt_en,,0x00c0,ChAligner_03_patt_en,rw,1,0,1,2,1,Enables a test (PRBS of user_words) pattern to be sent to the input of the channel aligner in place of data from ePortRx [0: disabled; 1: enabled]
